code,name,sector
002452,长高电气,电器行业
002546,新联电子,电器行业
002576,通达动力,电器行业
002580,圣阳股份,电器行业
002606,大连电瓷,电器行业
002617,露笑科技,电器行业
002647,仁东控股,电器行业
002664,信质集团,电器行业
002665,ST航高,电器行业
002670,国盛证券,电器行业
002684,猛狮退,电器行业
002706,良信股份,电器行业
002730,电光科技,电器行业
002733,雄韬股份,电器行业
300068,ST南都,电器行业
300140,节能环境,电器行业
300217,东方电热,电器行业
300222,科大智能,电器行业
300252,金信诺,电器行业
300265,通光线缆,电器行业
300274,阳光电源,电器行业
300283,温州宏丰,电器行业
300356,光一退,电器行业
300376,易事特,电器行业
300403,汉宇集团,电器行业
300407,凯发电气,电器行业
300438,鹏辉能源,电器行业
300447,全信股份,电器行业
600083,*ST博信,电子器件
600151,航天机电,电子器件
600171,上海贝岭,电子器件
